순위,상품번호,구분,도서명,저자,출판사,출간일,할인율,판매가,정가,포인트,판매지수,평점,배송정보,출간연도,출간월,평점_수치,종이책_리뷰_수,eBook_리뷰_수,종이책_한줄평_수,eBook_한줄평_수,총_리뷰_수
54,188721090,도서,구멍청,백희나 글그림,스토리보울,2026년 05월,10,15300,17000.0,850,81750,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (17건) eBook 리뷰 (0건) 종이책 한줄평 (24건) eBook 한줄평 (0건),,2026,5,9.3,17.0,0.0,24.0,0.0,41.0
55,172574653,도서,돈의 심리학 (50만 부 기념 뉴 에디션),모건 하우절 저/이지연 역,인플루엔셜,2026년 01월,10,22320,24800.0,1240,141576,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (409건) eBook 리뷰 (39건) 종이책 한줄평 (686건) eBook 한줄평 (173건),,2026,1,9.4,409.0,39.0,686.0,173.0,1307.0
56,184337755,도서,주식 투자를 잘한다는 것,육과장 저,노티스,2026년 04월,10,19800,22000.0,1100,119787,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (35건) eBook 리뷰 (0건) 종이책 한줄평 (41건) eBook 한줄평 (3건),,2026,4,9.8,35.0,0.0,41.0,3.0,79.0
57,143911524,도서,혼모노 (리커버),성해나 저,창비,2025년 03월,10,16200,18000.0,900,566538,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (441건) eBook 리뷰 (4건) 종이책 한줄평 (441건) eBook 한줄평 (9건),,2025,3,9.2,441.0,4.0,441.0,9.0,895.0
58,177044720,도서,인생을 위한 최소한의 생각,"신영준, 고영성 저",상상스퀘어,2026년 02월,10,17820,19800.0,990,281112,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (68건) eBook 리뷰 (2건) 종이책 한줄평 (79건) eBook 한줄평 (3건),,2026,2,9.4,68.0,2.0,79.0,3.0,152.0
59,124235834,도서,수족관,유래혁 저,포스터샵,2023년 12월,10,15930,17700.0,880,76185,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (20건) eBook 리뷰 (0건) 종이책 한줄평 (24건) eBook 한줄평 (0건),,2023,12,9.3,20.0,0.0,24.0,0.0,44.0
60,180137091,도서,완벽한 원시인,자청 저,필로틱,2026년 03월,10,19800,22000.0,1100,172728,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (102건) eBook 리뷰 (4건) 종이책 한줄평 (87건) eBook 한줄평 (13건),,2026,3,9.3,102.0,4.0,87.0,13.0,206.0
61,191889338,도서,밤낮 레스토랑,노예지 글그림,북스그라운드,2026년 06월,10,15120,16800.0,840,11082,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (15건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,15.0,0.0,1.0,0.0,16.0
62,189403001,도서,고양이 해결사 깜냥 9,홍민정 글/김재희 그림,창비,2026년 05월,10,12600,14000.0,700,71343,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (36건) eBook 리뷰 (0건) 종이책 한줄평 (16건) eBook 한줄평 (0건),,2026,5,9.8,36.0,0.0,16.0,0.0,52.0
63,186887775,도서,우월한 열등감,알프레드 아들러 저/김경일 역,저녁달,2026년 04월,10,18900,21000.0,1050,31008,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (31건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,4,9.9,31.0,0.0,0.0,0.0,31.0
64,192142964,도서,2026 해커스경찰 갓대환 형사법 진도별 문제풀이 1000제 2차 시험 대비,김대환 편저,해커스경찰,2025년 06월,5,38000,40000.0,1200,11250,,,2025,6,,0.0,0.0,0.0,0.0,0.0
65,164510819,도서,괴테는 모든 것을 말했다,스즈키 유이 저/이지수 역,리프,2025년 11월,10,15300,17000.0,850,404562,리뷰 총점8.8 정보 더 보기/감추기 종이책 리뷰 (205건) eBook 리뷰 (24건) 종이책 한줄평 (184건) eBook 한줄평 (42건),,2025,11,8.8,205.0,24.0,184.0,42.0,455.0
66,147276346,도서,너를 아끼며 살아라,나태주 저,더블북,2025년 06월,10,16650,18500.0,920,309636,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (101건) eBook 리뷰 (0건) 종이책 한줄평 (96건) eBook 한줄평 (1건),,2025,6,9.8,101.0,0.0,96.0,1.0,198.0
67,192030311,도서,우리는 가장 밝은 밤에 헤어졌다,표도르 도스토예프스키 저/김희숙 역,윌마,2026년 06월,10,16020,17800.0,890,11406,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (20건) eBook 리뷰 (0건) 종이책 한줄평 (27건) eBook 한줄평 (0건),,2026,6,10.0,20.0,0.0,27.0,0.0,47.0
68,192119354,도서,2027 선재국어 독해야 산다 1일 1독,이선재 편저,수비니겨,2026년 06월,10,15300,17000.0,170,13554,,,2026,6,,0.0,0.0,0.0,0.0,0.0
69,191535368,도서,슈퍼개미 이정윤의 성장주 집중 투자,이정윤 저,베가북스,2026년 06월,10,22500,25000.0,1250,94149,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (0건) 종이책 한줄평 (14건) eBook 한줄평 (0건),,2026,6,10.0,2.0,0.0,14.0,0.0,16.0
70,188940359,도서,굿 인사이드,베키 케네디 저/김영정 역,코리아닷컴(Korea.com),2026년 05월,10,18900,21000.0,1050,78285,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (25건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,5,10.0,25.0,0.0,1.0,0.0,26.0
71,192495835,도서,죽음의 에티켓,롤란트 슐츠 저/노선정 역,스노우폭스북스,2026년 06월,10,17010,18900.0,940,2160,,,2026,6,,0.0,0.0,0.0,0.0,0.0
72,176913274,도서,부처님 말씀대로 살아보니,토니 페르난도 저/강정선 역,윌마,2026년 02월,10,17010,18900.0,940,144258,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (69건) eBook 리뷰 (2건) 종이책 한줄평 (38건) eBook 한줄평 (7건),,2026,2,9.4,69.0,2.0,38.0,7.0,116.0
73,136298166,도서,어른의 행복은 조용하다,태수 저,페이지2북스,2024년 11월,10,16020,17800.0,890,384312,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (217건) eBook 리뷰 (10건) 종이책 한줄평 (246건) eBook 한줄평 (44건),,2024,11,9.5,217.0,10.0,246.0,44.0,517.0
74,191857161,도서,ETS 토익 기출보카(VOCA),ETS 저,YBM(와이비엠),2026년 06월,10,13500,15000.0,750,13680,,,2026,6,,0.0,0.0,0.0,0.0,0.0
75,184261820,도서,"AI, 신의 탄생 인간의 종말","엘리에저 유드코스키, 네이트 소아레스 저/고영훈 역",상상스퀘어,2026년 04월,10,19800,22000.0,1100,57492,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (13건) eBook 리뷰 (1건) 종이책 한줄평 (15건) eBook 한줄평 (4건),,2026,4,9.7,13.0,1.0,15.0,4.0,33.0
76,92578889,도서,5번 레인 (30만 부 기념 리커버),은소홀 저/노인경 그림,문학동네,2020년 09월,10,12600,14000.0,700,161703,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (184건) eBook 리뷰 (2건) 종이책 한줄평 (237건) eBook 한줄평 (13건),,2020,9,9.7,184.0,2.0,237.0,13.0,436.0
77,192145622,도서,패밀리 레스토랑 가자. 下,와야마 야마 글그림/현승희 역,문학동네,2026년 06월,10,7650,8500.0,420,171630,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (4건) eBook 리뷰 (0건) 종이책 한줄평 (12건) eBook 한줄평 (0건),,2026,6,9.3,4.0,0.0,12.0,0.0,16.0
78,191698201,도서,미국 성장주는 멈추지 않는다,김영웅 저,경이로움,2026년 06월,10,23400,26000.0,1300,6732,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (8건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,6,10.0,8.0,0.0,2.0,0.0,10.0
79,187927810,도서,흔한남매 22,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,2026년 04월,10,15120,16800.0,840,124317,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (129건) eBook 리뷰 (0건) 종이책 한줄평 (61건) eBook 한줄평 (0건),,2026,4,9.6,129.0,0.0,61.0,0.0,190.0
80,182422429,도서,무례한 세상에서 나를 지키는 법,발타자르 그라시안 저/하와이 대저택 편저,논픽션,2026년 03월,10,17820,19800.0,990,131928,리뷰 총점8.9 정보 더 보기/감추기 종이책 리뷰 (25건) eBook 리뷰 (0건) 종이책 한줄평 (29건) eBook 한줄평 (0건),,2026,3,8.9,25.0,0.0,29.0,0.0,54.0
81,174965461,도서,나쁜 일이 있어도 나쁜 날은 아니야,정문정 글/피도크 그림/천근아 감수,서교책방,2026년 01월,10,15120,16800.0,840,88674,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (92건) eBook 리뷰 (0건) 종이책 한줄평 (84건) eBook 한줄평 (0건),,2026,1,9.9,92.0,0.0,84.0,0.0,176.0
82,119458052,도서,최소한의 한국사,최태성 저,프런트페이지,2023년 06월,10,17820,19800.0,990,184527,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (286건) eBook 리뷰 (11건) 종이책 한줄평 (470건) eBook 한줄평 (37건),,2023,6,9.8,286.0,11.0,470.0,37.0,804.0
83,176787,도서,데미안,헤르만 헤세 저/전영애 역,민음사,2000년 12월,10,7200,8000.0,400,159912,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (476건) eBook 리뷰 (43건) 종이책 한줄평 (571건) eBook 한줄평 (106건),,2000,12,9.3,476.0,43.0,571.0,106.0,1196.0
84,189589723,도서,김미경의 플러스 휴먼,김미경 저,어웨이크(AWAKE),2026년 05월,10,17550,19500.0,970,92118,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (31건) eBook 리뷰 (0건) 종이책 한줄평 (26건) eBook 한줄평 (0건),,2026,5,9.7,31.0,0.0,26.0,0.0,57.0
85,192022748,도서,모두가 자신의 무가치함과 싸우고 있다 대본집 세트,박해영 저,알에이치코리아(RHK),2026년 08월,10,61200,68000.0,3400,37785,,,2026,8,,0.0,0.0,0.0,0.0,0.0
86,149385533,도서,자몽살구클럽,한로로 저,어센틱,2025년 07월,10,10800,12000.0,600,348891,리뷰 총점9.1 정보 더 보기/감추기 종이책 리뷰 (125건) eBook 리뷰 (0건) 종이책 한줄평 (167건) eBook 한줄평 (0건),,2025,7,9.1,125.0,0.0,167.0,0.0,292.0
87,192279758,만화,사카모토 데이즈 26 더블특전판,스즈키 유우토 글그림,대원,2026년 06월,10,5850,6500.0,320,44040,,,2026,6,,0.0,0.0,0.0,0.0,0.0
88,97963475,도서,순례 주택,유은실 저,비룡소,2021년 03월,10,13500,15000.0,750,139599,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (237건) eBook 리뷰 (3건) 종이책 한줄평 (212건) eBook 한줄평 (8건),,2021,3,9.7,237.0,3.0,212.0,8.0,460.0
